Date,Open,High,Low,Close,Volume
2022-01-03,1147.75,1201.069946,1136.040039,1199.780029,34643800
2022-01-04,1189.550049,1208,1123.050049,1149.589966,33416100
2022-01-05,1146.650024,1170.339966,1081.01001,1088.119995,26706600
2022-01-06,1077,1088,1020.5,1064.699951,30112200
2022-01-07,1080.369995,1080.930054,1010,1026.959961,28054900
2022-01-10,1000,1059.099976,980,1058.119995,30605000
2022-01-11,1053.670044,1075.849976,1038.819946,1064.400024,22021100
2022-01-12,1078.849976,1114.839966,1072.589966,1106.219971,27913000
2022-01-13,1109.069946,1115.599976,1026.540039,1031.560059,32403300
2022-01-14,1019.880005,1052,1013.380005,1049.609985,24308100
2022-01-18,1026.609985,1070.790039,1016.059998,1030.51001,22247800
2022-01-19,1041.709961,1054.670044,995,995.6500244,25147500
2022-01-20,1009.72998,1041.660034,994,996.2700195,23496200
2022-01-21,996.3400269,1004.549988,940.5,943.9000244,34472000
2022-01-24,904.7600098,933.5100098,851.4699707,930,50521900
2022-01-25,914.2000122,951.2600098,903.210022,918.4000244,28865300
2022-01-26,952.4299927,987.6900024,906,937.4099731,34955800
2022-01-27,933.3599854,935.3900146,829,829.0999756,49036500
2022-01-28,831.5599976,857.5,792.0100098,846.3499756,44929700
2022-01-31,872.710022,937.9899902,862.0499878,936.7199707,34812000
2022-02-01,935.210022,943.7000122,905,931.25,24379400
2022-02-02,928.1799927,931.5,889.4099731,905.6599731,22264300
2022-02-03,882,937,880.5200195,891.1400146,26285200
2022-02-04,897.2199707,936.5,881.1699829,923.3200073,24541800
2022-02-07,923.789978,947.7700195,902.710022,907.3400269,20331500
2022-02-08,905.5300293,926.289978,894.7999878,922,16909700
2022-02-09,935,946.2700195,920,932,17419800
2022-02-10,908.3699951,943.8099976,896.7000122,904.5499878,22042300
2022-02-11,909.6300049,915.960022,850.7000122,860,26548600
2022-02-14,861.5700073,898.8800049,853.1500244,875.7600098,22585500
2022-02-15,900,923,893.3800049,922.4299927,19095400
2022-02-16,914.0499878,926.4299927,901.210022,923.3900146,17098100
2022-02-17,913.2600098,918.5,874.0999756,876.3499756,18392800
2022-02-18,886,886.8699951,837.6099854,856.9799805,22833900
2022-02-22,834.1300049,856.7299805,801.0999756,821.5300293,27762700
2022-02-23,830.4299927,835.2999878,760.5599976,764.039978,31752300
2022-02-24,700.3900146,802.4799805,700,800.7700195,45107400
2022-02-25,809.2299805,819.5,782.4000244,809.8699951,25355900
2022-02-28,815.0100098,876.8599854,814.710022,870.4299927,33002300
2022-03-01,869.6799927,889.8800049,853.7800293,864.3699951,24922300
